var,na_qtde,pna,uf
hora_acidente,0,0,PE
cond_pista,69654,1,PE
tp_pavimento,69654,1,PE
lim_velocidade,69654,1,PE
qtde_acidente,0,0,PE
qtde_acid_com_obitos,0,0,PE
qtde_envolvidos,0,0,PE
qtde_feridosilesos,0,0,PE
qtde_obitos,0,0,PE
num_acidente,0,0,PI
chv_localidade,0,0,PI
data_acidente,0,0,PI
uf_acidente,0,0,PI
ano_acidente,0,0,PI
mes_acidente,0,0,PI
mes_ano_acidente,0,0,PI
codigo_ibge,0,0,PI
dia_semana,0,0,PI
fase_dia,123,0.0021971740411925473,PI
tp_acidente,55981,1,PI
cond_meteorologica,55981,1,PI
end_acidente,1260,0.022507636519533414,PI
cep_acidente,48576,0.8677229774387739,PI
bairro_acidente,16864,0.3012450652900091,PI
latitude_acidente,39804,0.7110269555742127,PI
longitude_acidente,39804,0.7110269555742127,PI
hora_acidente,9,1.607688322823815e-4,PI
cond_pista,55981,1,PI
tp_pavimento,55981,1,PI
lim_velocidade,55981,1,PI
qtde_acidente,0,0,PI
qtde_acid_com_obitos,0,0,PI
qtde_envolvidos,0,0,PI
qtde_feridosilesos,0,0,PI
qtde_obitos,0,0,PI
num_acidente,0,0,PR
chv_localidade,0,0,PR
data_acidente,0,0,PR
uf_acidente,0,0,PR
ano_acidente,0,0,PR
mes_acidente,0,0,PR
mes_ano_acidente,0,0,PR
codigo_ibge,0,0,PR
dia_semana,0,0,PR
fase_dia,0,0,PR
tp_acidente,19095,0.0393517421311972,PR
cond_meteorologica,1702,0.003507549887787255,PR
end_acidente,13158,0.027116534326383494,PR
cep_acidente,485239,1,PR
bairro_acidente,25894,0.053363394121247465,PR
latitude_acidente,485239,1,PR
longitude_acidente,485239,1,PR
hora_acidente,0,0,PR
cond_pista,336636,0.6937529753379262,PR
tp_pavimento,334676,0.6897137286986413,PR
lim_velocidade,426125,0.8781754970231165,PR
qtde_acidente,0,0,PR
qtde_acid_com_obitos,0,0,PR
qtde_envolvidos,0,0,PR
qtde_feridosilesos,0,0,PR
qtde_obitos,0,0,PR
num_acidente,0,0,RJ
chv_localidade,0,0,RJ
data_acidente,0,0,RJ
uf_acidente,0,0,RJ
ano_acidente,0,0,RJ
mes_acidente,0,0,RJ
mes_ano_acidente,0,0,RJ
codigo_ibge,0,0,RJ
dia_semana,0,0,RJ
fase_dia,0,0,RJ
tp_acidente,0,0,RJ
cond_meteorologica,95805,1,RJ
end_acidente,1181,0.012327122801523928,RJ
cep_acidente,95805,1,RJ
bairro_acidente,59377,0.6197693231042222,RJ
latitude_acidente,0,0,RJ
longitude_acidente,0,0,RJ
hora_acidente,0,0,RJ
cond_pista,95805,1,RJ
tp_pavimento,95805,1,RJ
lim_velocidade,95805,1,RJ
qtde_acidente,0,0,RJ
qtde_acid_com_obitos,0,0,RJ
qtde_envolvidos,0,0,RJ
qtde_feridosilesos,0,0,RJ
qtde_obitos,0,0,RJ
num_acidente,0,0,RN
chv_localidade,0,0,RN
data_acidente,0,0,RN
uf_acidente,0,0,RN
ano_acidente,0,0,RN
mes_acidente,0,0,RN
mes_ano_acidente,0,0,RN
codigo_ibge,0,0,RN
dia_semana,0,0,RN
fase_dia,0,0,RN
tp_acidente,114,0.0040628675291350365,RN
cond_meteorologica,20244,0.7214797391211376,RN
end_acidente,419,0.014932820129013863,RN
cep_acidente,28059,1,RN
bairro_acidente,19828,0.70665383655868,RN
latitude_acidente,23914,0.8522755622082041,RN
longitude_acidente,23914,0.8522755622082041,RN
hora_acidente,486,0.017320645782102,RN
cond_pista,23675,0.8437577960725614,RN
tp_pavimento,23808,0.8484978081898856,RN
lim_velocidade,28059,1,RN
qtde_acidente,0,0,RN
qtde_acid_com_obitos,0,0,RN
qtde_envolvidos,0,0,RN
qtde_feridosilesos,0,0,RN
qtde_obitos,0,0,RN
num_acidente,0,0,RO
chv_localidade,0,0,RO
data_acidente,0,0,RO
uf_acidente,0,0,RO
ano_acidente,0,0,RO
mes_acidente,0,0,RO
mes_ano_acidente,0,0,RO
codigo_ibge,0,0,RO
dia_semana,0,0,RO
fase_dia,0,0,RO
tp_acidente,0,0,RO
cond_meteorologica,57796,1,RO
end_acidente,333,0.005761644404457056,RO
cep_acidente,57796,1,RO
bairro_acidente,7098,0.12281126721572427,RO
latitude_acidente,529,0.009152882552425773,RO
longitude_acidente,529,0.009152882552425773,RO
hora_acidente,29343,0.5076994947747249,RO
cond_pista,57796,1,RO
tp_pavimento,57796,1,RO
lim_velocidade,57796,1,RO
qtde_acidente,0,0,RO
qtde_acid_com_obitos,0,0,RO
qtde_envolvidos,0,0,RO
qtde_feridosilesos,0,0,RO
qtde_obitos,0,0,RO
num_acidente,0,0,RR
chv_localidade,0,0,RR
data_acidente,0,0,RR
uf_acidente,0,0,RR
ano_acidente,0,0,RR
mes_acidente,0,0,RR
mes_ano_acidente,0,0,RR
codigo_ibge,0,0,RR
dia_semana,0,0,RR
fase_dia,0,0,RR
tp_acidente,15,0.0011317338162064282,RR
cond_meteorologica,13254,1,RR
end_acidente,30,0.0022634676324128564,RR
cep_acidente,12593,0.9501282631658368,RR
bairro_acidente,1380,0.10411951109099139,RR
latitude_acidente,11618,0.8765655651124189,RR
longitude_acidente,11618,0.8765655651124189,RR
hora_acidente,139,0.010487400030179568,RR
cond_pista,13254,1,RR
tp_pavimento,13254,1,RR
lim_velocidade,13254,1,RR
qtde_acidente,0,0,RR
qtde_acid_com_obitos,0,0,RR
qtde_envolvidos,0,0,RR
qtde_feridosilesos,0,0,RR
qtde_obitos,0,0,RR
num_acidente,0,0,RS
chv_localidade,0,0,RS
data_acidente,0,0,RS
uf_acidente,0,0,RS
ano_acidente,0,0,RS
mes_acidente,0,0,RS
mes_ano_acidente,0,0,RS
codigo_ibge,0,0,RS
dia_semana,0,0,RS
fase_dia,80,0.01094391244870041,RS
tp_acidente,115,0.01573187414500684,RS
cond_meteorologica,7278,0.9956224350205198,RS
end_acidente,92,0.012585499316005472,RS
cep_acidente,7308,0.9997264021887825,RS
bairro_acidente,7310,1,RS
latitude_acidente,0,0,RS
longitude_acidente,0,0,RS
hora_acidente,0,0,RS
cond_pista,7310,1,RS
tp_pavimento,7310,1,RS
lim_velocidade,7310,1,RS
qtde_acidente,0,0,RS
qtde_acid_com_obitos,0,0,RS
qtde_envolvidos,0,0,RS
qtde_feridosilesos,0,0,RS
qtde_obitos,0,0,RS
num_acidente,0,0,SC
chv_localidade,0,0,SC
data_acidente,0,0,SC
uf_acidente,0,0,SC
ano_acidente,0,0,SC
mes_acidente,0,0,SC
mes_ano_acidente,0,0,SC
codigo_ibge,0,0,SC
dia_semana,0,0,SC
fase_dia,0,0,SC
tp_acidente,0,0,SC
cond_meteorologica,632685,1,SC
end_acidente,2,3.1611307364644335e-6,SC
cep_acidente,632685,1,SC
bairro_acidente,632685,1,SC
latitude_acidente,632685,1,SC
longitude_acidente,632685,1,SC
hora_acidente,0,0,SC
cond_pista,632685,1,SC
tp_pavimento,632685,1,SC
lim_velocidade,632685,1,SC
qtde_acidente,0,0,SC
qtde_acid_com_obitos,0,0,SC
qtde_envolvidos,0,0,SC
qtde_feridosilesos,0,0,SC
qtde_obitos,0,0,SC
num_acidente,0,0,SE
chv_localidade,0,0,SE
data_acidente,0,0,SE
uf_acidente,0,0,SE
ano_acidente,0,0,SE
mes_acidente,0,0,SE
mes_ano_acidente,0,0,SE
codigo_ibge,0,0,SE
dia_semana,0,0,SE
fase_dia,1,2.295684113865932e-4,SE
tp_acidente,62,0.014233241505968778,SE
cond_meteorologica,0,0,SE
end_acidente,0,0,SE
cep_acidente,4356,1,SE
bairro_acidente,4356,1,SE
latitude_acidente,4356,1,SE
longitude_acidente,4356,1,SE
hora_acidente,0,0,SE
cond_pista,58,0.013314967860422406,SE
tp_pavimento,52,0.011937557392102846,SE
lim_velocidade,4356,1,SE
qtde_acidente,0,0,SE
qtde_acid_com_obitos,0,0,SE
qtde_envolvidos,0,0,SE
qtde_feridosilesos,0,0,SE
qtde_obitos,0,0,SE
num_acidente,0,0,SP
chv_localidade,0,0,SP
data_acidente,0,0,SP
uf_acidente,0,0,SP
ano_acidente,0,0,SP
mes_acidente,0,0,SP
mes_ano_acidente,0,0,SP
codigo_ibge,0,0,SP
dia_semana,0,0,SP
fase_dia,0,0,SP
tp_acidente,0,0,SP
cond_meteorologica,0,0,SP
end_acidente,115,1.5242770950194578e-4,SP
cep_acidente,754456,1,SP
bairro_acidente,24713,0.0327560520427964,SP
latitude_acidente,670955,0.889322902859809,SP
longitude_acidente,670955,0.889322902859809,SP
hora_acidente,1742,0.002308948434368605,SP
cond_pista,74236,0.09839672558770823,SP
tp_pavimento,74236,0.09839672558770823,SP
lim_velocidade,754456,1,SP
qtde_acidente,0,0,SP
qtde_acid_com_obitos,0,0,SP
qtde_envolvidos,0,0,SP
qtde_feridosilesos,0,0,SP
qtde_obitos,0,0,SP
num_acidente,0,0,TO
chv_localidade,0,0,TO
data_acidente,0,0,TO
uf_acidente,0,0,TO
ano_acidente,0,0,TO
mes_acidente,0,0,TO
mes_ano_acidente,0,0,TO
codigo_ibge,0,0,TO
dia_semana,0,0,TO
fase_dia,0,0,TO
tp_acidente,73,0.0031475014012848704,TO
cond_meteorologica,23193,1,TO
end_acidente,7,3.0181520286293276e-4,TO
cep_acidente,23193,1,TO
bairro_acidente,22562,0.9727935152847842,TO
latitude_acidente,18347,0.7910576467037468,TO
longitude_acidente,18347,0.7910576467037468,TO
hora_acidente,0,0,TO
cond_pista,23193,1,TO
tp_pavimento,23193,1,TO
lim_velocidade,23193,1,TO
qtde_acidente,0,0,TO
qtde_acid_com_obitos,0,0,TO
qtde_envolvidos,0,0,TO
qtde_feridosilesos,0,0,TO
qtde_obitos,0,0,TO
